DATAFLOW,LAST UPDATE,freq,duration,c_dest,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,European Union - 27 countries (from 2020),2018,240501082,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,European Union - 27 countries (from 2020),2019,243254556,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,European Union - 27 countries (from 2020),2020,192613324,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,European Union - 27 countries (from 2020),2021,208569848,u
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,European Union - 27 countries (from 2020),2022,229051126,u
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,European Union - 27 countries (from 2020),2023,241552963,u
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Finland,2014,4032299,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Finland,2015,4035811,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Finland,2016,4079587,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Finland,2017,4086639,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Finland,2018,4088482,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Finland,2019,3731885,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Finland,2020,3142165,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Finland,2021,3222334,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Finland,2022,3506823,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Finland,2023,3481479,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,France,2014,38229887,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,France,2015,38689286,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,France,2016,38049563,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,France,2017,38695712,
