DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_TYPE_ACCOMMODATION,SEX,AGE,LABPROF_STATUS_C,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_SEX,NOTE_AGE,NOTE_LABPROF_STATUS_C,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,BUS,9,9,TOTAL,99,2023,472,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,HOL,9,9,TOTAL,99,2019,20136,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,HOL,9,9,TOTAL,99,2020,9099,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,HOL,9,9,TOTAL,99,2021,12852,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,HOL,9,9,TOTAL,99,2022,11612,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,HOL,9,9,TOTAL,99,2023,14889,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,HOLL,9,9,TOTAL,99,2019,17522,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,HOLL,9,9,TOTAL,99,2020,7493,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,HOLL,9,9,TOTAL,99,2021,11290,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,HOLL,9,9,TOTAL,99,2022,9433,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,HOLL,9,9,TOTAL,99,2023,12419,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,HOLS,9,9,TOTAL,99,2019,2615,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,HOLS,9,9,TOTAL,99,2020,1606,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,HOLS,9,9,TOTAL,99,2021,1562,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,HOLS,9,9,TOTAL,99,2022,2179,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,HOLS,9,9,TOTAL,99,2023,2470,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,TRIP,9,9,TOTAL,99,2019,20317,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,TRIP,9,9,TOTAL,99,2020,9567,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,TRIP,9,9,TOTAL,99,2021,13178,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,TRIP,9,9,TOTAL,99,2022,12090,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC3,TRIP,9,9,TOTAL,99,2023,15361,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC4,BUS,9,9,TOTAL,99,2019,3095,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC4,BUS,9,9,TOTAL,99,2020,1251,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC4,BUS,9,9,TOTAL,99,2021,1365,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC4,BUS,9,9,TOTAL,99,2022,1706,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC4,BUS,9,9,TOTAL,99,2023,1019,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC4,HOL,9,9,TOTAL,99,2019,14988,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC4,HOL,9,9,TOTAL,99,2020,13150,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC4,HOL,9,9,TOTAL,99,2021,12511,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC4,HOL,9,9,TOTAL,99,2022,15438,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC4,HOL,9,9,TOTAL,99,2023,13805,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC4,HOLL,9,9,TOTAL,99,2019,10724,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,ITC4,HOLL,9,9,TOTAL,99,2020,10541,,,,,,,,,,,,,,
