DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_PURPOSE_TRIP,TYPE_DESTINATION,TYPE_CULTURAL_ACTIVITY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_PURPOSE_TRIP,NOTE_TYPE_DESTINATION,NOTE_TYPE_CULTURAL_ACTIVITY,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,TOT_VAC,TOTAL,ALL_CULT,2023,28540,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,HEALTH,TOTAL,ALL_CULT,2019,341,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,HEALTH,TOTAL,ALL_CULT,2020,380,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,HEALTH,TOTAL,ALL_CULT,2021,169,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,HEALTH,TOTAL,ALL_CULT,2022,251,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,HEALTH,TOTAL,ALL_CULT,2023,276,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,PLEAS,TOTAL,ALL_CULT,2019,20203,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,PLEAS,TOTAL,ALL_CULT,2020,10958,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,PLEAS,TOTAL,ALL_CULT,2021,10309,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,PLEAS,TOTAL,ALL_CULT,2022,15501,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,PLEAS,TOTAL,ALL_CULT,2023,14651,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELATIV,TOTAL,ALL_CULT,2019,7383,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELATIV,TOTAL,ALL_CULT,2020,4084,,,,,,,,,,,,,
