DATAFLOW,FREQ,REF_AREA,DATA_TYPE,ADJUSTMENT,TYPE_ACCOMMODATION,ECON_ACTIVITY_NACE_2007,COUNTRY_RES_GUESTS,LOCALITY_TYPE,URBANIZ_DEGREE,COASTAL_AREA,SIZE_BY_NUMBER_ROOMS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_ADJUSTMENT,NOTE_TYPE_ACCOMMODATION,NOTE_ECON_ACTIVITY_NACE_2007,NOTE_COUNTRY_RES_GUESTS,NOTE_LOCALITY_TYPE,NOTE_URBANIZ_DEGREE,NOTE_COASTAL_AREA,NOTE_SIZE_BY_NUMBER_ROOMS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF1,ALL,ALL,ALL,TOT,2018,1196641,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF1,ALL,ALL,ALL,TOT,2019,1217085,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF1,ALL,ALL,ALL,TOT,2020,604332,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF1,ALL,ALL,ALL,TOT,2021,891648,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF1,ALL,ALL,ALL,TOT,2022,1130109,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF1,ALL,ALL,ALL,TOT,2023,1208561,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF2,ALL,ALL,ALL,TOT,2018,251630,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF2,ALL,ALL,ALL,TOT,2019,259643,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF2,ALL,ALL,ALL,TOT,2020,121311,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF2,ALL,ALL,ALL,TOT,2021,177785,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF2,ALL,ALL,ALL,TOT,2022,236581,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF2,ALL,ALL,ALL,TOT,2023,257141,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF3,ALL,ALL,ALL,TOT,2018,5057459,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF3,ALL,ALL,ALL,TOT,2019,5262173,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF3,ALL,ALL,ALL,TOT,2020,2960220,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF3,ALL,ALL,ALL,TOT,2021,3974656,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF3,ALL,ALL,ALL,TOT,2022,4915869,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF3,ALL,ALL,ALL,TOT,2023,5263307,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF4,ALL,ALL,ALL,TOT,2018,3424226,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITF4,ALL,ALL,ALL,TOT,2019,3457577,,,,,,,,,,,,,,,,
