DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,TYPE_TRIP,MAIN_DESTINATION,MAIN_TYPE_ACCOMMODATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_TYPE_TRIP,NOTE_MAIN_DESTINATION,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2022-Q2,129,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2022-Q3,104,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2022-Q4,140,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2023-Q1,145,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2023-Q2,140,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2023-Q3,140,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2023-Q4,183,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2019-Q1,273,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2019-Q2,336,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2019-Q3,518,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2019-Q4,287,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2020-Q1,311,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2020-Q2,308,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2020-Q3,459,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2020-Q4,309,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2021-Q1,263,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2021-Q2,338,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2021-Q3,531,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2021-Q4,335,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2022-Q1,351,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2022-Q2,362,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2022-Q3,565,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2022-Q4,313,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2023-Q1,333,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2023-Q2,359,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2023-Q3,611,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,IT,5,2023-Q4,366,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2019-Q1,393,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2019-Q2,434,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2019-Q3,613,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2019-Q4,435,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2020-Q1,443,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2020-Q2,327,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2020-Q3,470,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2020-Q4,319,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2021-Q1,263,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2021-Q2,375,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2021-Q3,560,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2021-Q4,406,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2022-Q1,405,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2022-Q2,413,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2022-Q3,646,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2022-Q4,413,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2023-Q1,439,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2023-Q2,442,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2023-Q3,715,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,TOTAL,5,2023-Q4,571,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2019-Q1,762,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2019-Q2,705,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2019-Q3,921,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2019-Q4,748,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2020-Q1,796,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2020-Q2,871,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2020-Q3,741,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2020-Q4,648,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2021-Q1,0,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2021-Q2,1003,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2021-Q3,929,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2021-Q4,730,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2022-Q1,690,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2022-Q2,661,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2022-Q3,944,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2022-Q4,722,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2023-Q1,759,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2023-Q2,792,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_TOT,HOL,WRL_X_ITA,5,2023-Q3,1091,,,,,,,,,,,
